FSC-A	FSC-H	SSC-A	<PE-A>: JAK1	<PerCP-Cy5-5-A>: CD25	<Pacific Blue-A>: pSTAT5	<APC-A>: STAT5
62528	66304	54336	4280.18848	17762.7988	27302.3066	10020.4541
87296	81216	1.20063996e5	20354.0859	23469.4375	26512.5625	14518.9072
78272	81152	91520	5022.63281	18025.1484	10936.9844	11134.5918
26368	25216	89152	5103.49512	18587.877	13478.9766	13708.7344
43072	35456	56448	4739.09521	4073.25952	18648.4609	8265.59863
66496	61312	1.48095999e5	9693.5791	23207.373	90190.8203	25764.1719
68672	68928	1.07519996e5	7058.19922	22502.168	11340.1191	11593.3711
50432	42240	1.07135999e5	5970.67773	19553.1719	6250.25244	8271.32324
34752	33344	59456	3081.32349	6480.50439	14494.9033	5190.54053
42240	41984	74432	5732.72021	16260.4785	14760.2568	8325.66797
59968	57344	90176	9206.98145	16523.1387	25768.8164	15368.5693
33344	28864	56576	3945.83936	5512.96533	20110.8359	7155.03467
28480	21056	1.02592003e5	4587.76123	20894.7812	33337.2695	13947.75
35968	27520	93376	9096.24707	22627.043	29981.9531	14687.4609
87808	88256	72832	5330.65088	10062.8242	4389.06836	7861.21924
49408	49984	59264	4560.31299	7224.34131	25023.9375	11544.001
35712	34176	70656	4270.93799	10172.7227	21946.166	8354.55078
39232	32448	76544	3624.49463	13223.9346	16518.7188	10615.5391
28736	21952	60736	6408.29883	13352.7422	33098.4414	6444.71875
48128	43776	72064	4521.42969	2627.24658	40293	9752.23047
63360	67264	1.08863997e5	9344.74023	20186.2676	1757.76428	13296.3594
56768	61056	52928	4477.6582	4499.45166	23071.5527	6169.54395
67840	62656	1.09311998e5	8339.16406	26309.4844	16611.0391	12739.0859
38656	38464	70976	5901.36768	20846.8594	9373.21387	8595.0127
63552	58496	87808	4871.20068	11073.7217	28479.7715	12295.1875
39616	40832	84736	7319.70801	20336.7852	52886.1914	13061.0273
44160	42688	88448	6042.39551	11202.4004	18014.1426	9684.16309
40192	36928	1.05727994e5	5390.34473	8322.02441	25750.9941	9013.34668
37568	36608	69824	5336.24658	16305.2363	22759.6914	8427.6377
30080	26112	84800	9572.63477	16054.7725	32607.0371	8939.97852
50240	51520	58496	5174.29004	8142.76807	14074.1201	7549.62598
35520	33728	84352	5295.88477	14753.8721	23948.1113	8417.58203
84416	79040	1.16799998e5	17430	20323.4707	8211.64746	13607.5996
76288	75008	1.08863997e5	8100.58008	11536.0947	41067.2461	15695.3115
61440	60864	73472	9609.69922	4310.25146	21931.3574	7124.05957
44480	41472	75648	6906.41309	5270.81299	36069.7891	10812.0889
33728	20608	1.11679995e5	9465.82324	23317.9277	18898.7246	14819.127
47744	45376	95104	4816.30664	17620.7598	12026.5723	12526.7002
77504	69120	87168	8219.28906	15807.9316	17850.375	17663.4902
52736	49536	62016	4849.07129	5123.68359	18827.5801	8357.05371
41536	37120	1.14624e5	5405.81445	16342.4229	32299.5254	9805.29395
40320	29696	1.22303998e5	7418.00879	11721.291	63934.6211	18926.4316
19392	17600	63488	6256.46533	4506.58936	10541.9199	9327.49902
37440	32000	71808	5835.23828	16406.3828	19398.6387	8064.27832
52672	47296	67776	4459.23926	13725.9609	31727.502	9193.77441
83264	83200	93696	7204.43408	14934.7861	20066.0625	11525.8662
48704	48704	85120	4390.6958	10870.8477	19441.9062	7064.71094
33152	34432	63168	3440.10229	2481.68774	1292.15918	5134.93066
51008	53312	89344	5187.68408	7546.9873	22786.5312	10581.4932
35584	31680	68160	4656.46777	8064.3667	30041.2617	10360.9395
34304	29376	90240	6208.00732	23073.9785	6108.92188	18099
52864	45376	95936	5522.49316	19206.6406	16174.4082	12059.0859
86592	91776	1.12704003e5	6840.89258	17545.6133	17910.5664	16033.1494
30656	24576	1.15072e5	8348.97168	22739.5137	21851.2441	12732.7363
46208	45696	54720	4903.95508	4360.2168	5906.17432	6832.80566
45312	37760	80576	6906.67383	15034.6113	28472.7734	10597.5713
38912	32448	77888	4676.98145	16189.2939	25684.625	14140.9258
48512	44800	82368	2712.75024	9855.94141	6063.39453	6818.81689
34368	22272	1.03936005e5	5494.9585	11889.2588	24246.707	7649.44092
60032	52416	1.13856006e5	6015.52881	4897.34229	31656.8711	9787.53027
84032	82624	75264	6231.25293	7281.68164	29583.2129	8343.93848
40448	38528	57536	3939.76709	12508.8896	19794.7598	6114.46484
52480	45952	98624	8191.60498	19953.0156	6053.27344	9990.02637
33088	32128	72576	3019.17188	5256.76221	10233.2891	11078.4336
77184	68288	83584	7247.28662	27672.3027	12903.6445	10540.0703
70208	67136	83840	5363.35156	16527.1309	15142.9453	8167.84424
34240	34240	56192	6598.59131	2504.45239	27082.8633	7790.68799
21184	16192	66304	4783.30908	8617.42578	19413.3047	7177.7876
54976	55040	93184	6071.83984	12878.6279	31043.2773	11562.167
58432	56192	60288	3890.51099	8476.41602	4119.29102	4495.08691
37760	37760	60544	2764.77393	2392.12207	7114.88281	4058.27002
33024	28800	73536	6289.20361	14259.0283	26948.9199	8988.67188
1.00352001e5	95296	95168	9572.36621	7365.63086	34171.4805	12909.6318
46848	42752	66752	2576.44922	6951.08691	17263.5664	11302.8369
47424	47296	44864	3482.0271	8889.25488	26737.2617	9559.36133
21504	18560	72320	5214.38232	6395.61621	35963.6172	5748.40625
40576	40064	56704	3581.96313	12812.6816	3648.13159	7957.55713
82112	74880	77184	3880.39673	17507.8496	9526.08496	8910.69141
53184	51328	53824	2897.14819	15841.6982	24154.3828	13353.2998
30144	24960	80576	5321.48877	12202.6455	23177.0723	8826.68457
98432	97536	1.07967997e5	6019.94141	18988.9629	7995.01953	16245.0664
40256	29440	1.20767999e5	8712.88086	26196.7148	52871.875	18871.9707
23936	14144	1.03807998e5	6007.45068	14554.209	11318.6816	14203.0107
73792	64576	93248	9787.90723	31881.8945	21661.6953	11815.1016
51584	51008	1.10464001e5	5392.73486	6799.25342	25095.5488	9797.41211
90176	80448	92928	14596.1602	16473.373	6499.97559	17648.7012
63552	56576	83456	6399.87207	15275.4512	7406.79248	9303.31641
63552	62656	1.07840002e5	9956.03125	38111.6523	25156.5547	13358.9375
38400	35840	97728	5576.14697	13495.0879	44274.4023	15562.1924
24000	15232	87680	4915.29053	7184.95898	20702.3984	9090.33398
24064	20352	61632	5103.45801	8862.65723	23917.6387	5959.90771
60480	56448	1.14175999e5	7030.95117	16996.1289	15697.8066	9638.85352
64960	66752	64000	2857.54858	6319.35205	22965.0273	8396.59961
23296	18496	53440	4108.87061	4475.11182	19100.1113	4854.69043
65664	61760	1.04576004e5	7237.48877	18644.502	12740.5938	9064.65625
80064	74944	1.26400006e5	8282.0625	23735.1953	26332.6387	17589.3711
28288	25536	67136	5334.78174	14619.2119	16441.9355	7010.96484
57792	53376	95040	4754.87451	18554.8496	19482.0957	9993.22266
29056	25792	83456	3901.44434	5564.93799	33079.6016	12987.5879
60672	57856	81728	4632.28906	8846.0625	20992.3633	7396.0752
74688	72704	83776	3977.09131	12523.0859	11996.9697	11414.3164
94080	83712	89856	7790.86377	11793.3887	5605.2832	10076.2061
54528	52288	69120	7310.2168	11163.1377	20992.4668	8881.06055
28160	24128	86080	4530.479	6021.76318	17795.0742	5632.13965
52800	45632	85824	7038.74072	15368.9658	8882.17285	10849.7783
74816	75584	1.49632001e5	6602.69287	22374.5273	27384.4141	21724.6113
45184	41792	82432	3851.7063	7928.21631	20677.8906	8904.08105
47488	42304	89664	4999.3584	7089.78125	26402.834	10224.0771
54208	54144	95680	7844.83887	19100.627	4481.99072	10860.501
49408	37824	1.05664003e5	4602.11475	12271.8066	9550.67773	8615.59375
30144	29184	58944	3175.24731	10905.7705	14365.4512	7376.37939
14464	11392	76352	5471.91748	5878.45703	35056.1797	9466.82324
56896	46912	95552	7450.14746	16683.2129	31378.1406	9877.93848
56640	57664	1.22495997e5	5558.29443	13753.0342	72870.8672	15886.1299
43072	38144	1.18400002e5	9052.78809	33754.8047	26812.4902	12588.9492
40320	38528	68224	4072.46704	8508.52051	35970.7266	10442.3516
34560	28416	1.38943995e5	7845.13574	17084.0605	38775.0352	11452.0127
31232	23808	65600	5345.91504	14572.8916	20898.752	9107.46777
42304	34560	1.07008004e5	5232.93945	11850.5518	44097.3594	10901.3965
62016	52544	56384	3652.52393	6169.83252	24784.2715	9617.51465
35264	27008	1.30496001e5	6910.25732	13046.1016	68910.2812	18784.0684
39360	28608	1.05727994e5	8801.81445	30653.9824	30976.5469	10064.9863
54848	50816	92672	8721.26172	18149.8574	18801.2383	9073.12891
89920	86016	1.12191999e5	5854.26953	17081.7812	37536.4844	14367.6289
61376	58944	1.28320003e5	7914.01416	9170.79297	31309.7363	15224.7598
32320	31936	68544	7215.97705	12857.0645	19280.082	7410.20947
68992	67136	52352	6662.60645	10412.0566	25055.5449	6275.29736
61440	57984	74048	4858.47412	12094.5098	22804.9941	11267.6943
81088	79488	80000	5560.58936	8521.12793	14157.9766	9882.50781
18816	16320	83584	7853.96484	17496.0449	37365.1406	7229.72461
64256	59776	88512	4628.92383	11354.4688	12125.291	9065.46387
54912	47040	75648	4250.36621	16844.2246	13872.3652	13682.1426
34880	31168	78976	3011.98096	3029.27539	9314.26562	5207.01855
29632	28672	48576	4667.43457	3098.0498	18257.0664	6907.88867
47744	39872	1.1552e5	6516.34717	21031.8301	19459.5117	13452.8594
34752	30720	62016	3309.0061	10889.4033	5018.82324	6742.99268
48256	48896	78336	4530.81934	9392.79492	32042.084	10272.043
55104	53248	72384	6882.92236	12212.6562	22369.4082	7761.9082
79808	71808	1.2608e5	8038.7959	26735.0391	18379.5293	14501.8789
50944	51968	55232	5339.10547	5734.96973	31002.1797	6516.32324
56192	49728	1.19423998e5	6538.71777	14100.3477	12345.8555	11128.248
37440	29568	64960	4352.21387	15534.1865	5022.42285	6568.79346
43072	37056	60544	4082.3623	4378.20264	13938.5449	6964.83398
33728	31488	57728	2666.10254	5225.30615	10648.6152	8377.25879
34176	32000	65152	3002.59058	9706.29688	7951.65234	5839.35254
75136	72064	1.12e5	8735.95605	22726.8125	25437.043	14226.3066
48256	48064	76608	4312.97461	6151.23291	26693.459	8117.25635
26496	24960	57984	4519.9165	6305.34033	28365.0977	6319.07861
64704	64384	77248	3893.78833	14053.998	18990.7832	9103.50488
63552	54784	94592	6085.53955	17786.043	16585.627	9377.56738
75392	66688	76288	5548.34766	16604.9902	15187.0557	8850.06543
47744	48384	82944	4164.49365	7985.14551	32288.3828	7980.93457
43264	39616	1.55392003e5	10983.0205	14136.4463	52130.4023	13891.457
29120	25536	56512	3201.97974	11052.7031	7934.37744	9740.12109
64064	61120	77824	5426.18896	13323.6426	31866.8145	8604.27637
49280	45120	84864	4319.15381	12749.1777	31953.6992	8824.42188
93248	94080	1.13215995e5	5728.25439	7963.84521	17519.1328	12333.8682
60288	59776	1.08288002e5	5749.50439	12311.7578	31559.7656	18228.3926
97280	94080	1.01119995e5	9292.28613	7043.46045	1277.95386	17335.3906
48896	42880	1.30623996e5	8209.65527	18313.918	29119.7285	21437.8164
35584	32704	55808	4008.54443	6805.2832	14668.5996	5313.37646
52288	46144	98880	4124.68115	14958.8662	9928.91992	9292.38281
55168	49984	1.36127996e5	6403.55908	7326.58301	36215.4141	9968.16895
44800	38208	80832	6198.18408	8544.02344	22314.3945	7653.88037
23936	21376	87040	6910.40088	8221.56738	30776.9824	9322.04883
81280	77056	1.05024004e5	8981.88184	26229.1621	33440.707	12856.0557
45184	40704	1.29983997e5	6457.63086	16489.2188	12564.5518	10526.4395
36992	33920	70336	3982.39771	6502.96729	22683.8203	5614.26562
24064	19648	76736	5569.81982	16928.3281	21115.3164	11847.2422
74816	73984	87616	7665.98291	21931.7637	26360.7969	13829.8984
29888	22528	48896	5282.40527	12064.8262	9751.40234	8313.77637
33920	36288	52736	4610.0249	8546.8584	12136.2461	6249.27539
56064	45376	1.09503996e5	6333.54199	27492.9277	25394.5215	12175.2402
27840	24640	70912	4815.99414	10719.876	25445.3887	9080.2793
59776	48192	57664	5286.15918	17130.2188	11383.8545	10067.7754
52992	54144	78400	5471.5918	9664.07324	29751.6699	6806.84424
20224	18368	52160	4048.34375	9572.59375	13218.459	5273.29004
42432	41152	1.26400006e5	6069.20508	19846.8887	30765.3047	18575.2656
34880	34368	1.14303994e5	9836.50781	18740.002	24399.0273	11547.6953
52864	52608	70720	3340.30078	6448.79492	15698.2598	6744.80518
62464	63680	97088	3376.10156	9925.21973	9445.86719	7263.64111
56576	51136	1.59616003e5	8933.09668	16648.9707	27115.0039	24765.2832
45376	36416	95168	4730.70654	25078.1992	15262.0791	12408.8027
29632	24256	81600	5207.99219	16582.3672	9284.98242	7458.43652
29568	28736	64960	4716.32275	4545.2915	17510.9551	8537.02344
57600	54080	89664	6989.12354	23632.9414	16083.3984	10660.749
60416	54912	80832	5372.63281	10327.6982	17574.2246	7573.59277
41024	40192	48192	3706.79443	9853.62207	15275.3662	7604.80225
69184	62784	1.20640004e5	6076.99951	20030.7266	26093.9316	14938.1748
41856	41472	57280	2765.52124	9414.91797	9230.35352	6960.92822
22080	20544	61376	4369.354	10191.2666	9031.48242	5726.54639
46528	46080	63296	4733.74316	4936.54248	29689.1641	8471.89453
58880	55680	78080	2959.78247	15268.8076	19137.0371	7143.27832
34752	30912	50176	2914.67212	4088.60278	24024.8691	7918.90332
79296	75136	79744	2569.4126	11237.9561	6398.66797	8416.6875
70656	67136	66752	7099.56445	14580.582	34477.1094	9708.30176
62592	61184	1.25696003e5	8689.27246	23273.4473	39256.2344	16745.252
57600	50624	90880	7541.45215	16775.0078	23207.9004	11007.6133
33984	31552	73920	7689.76416	11942.9346	2656.53613	11649.623
50048	47360	93696	7183.54443	28220.0996	23051.3809	7941.39111
31552	29184	42880	3374.4436	5662.2998	12493.1152	8274.23535
20224	12608	1.04576004e5	5897.4624	13278.1074	26206.0176	11377.1562
87616	83776	1.11872005e5	8473.81348	26533.6445	19456.6582	16186.0869
41216	38784	83456	4212.63623	6139.15527	2639.68652	6781.83545
60544	59776	57472	4096.32178	3456.78516	20652.3145	11380.4326
73088	73344	83712	8018.01025	18024.4609	31155.002	10951.584
65088	65344	70400	4521.63232	9807.71875	26198.6465	8311.19922
48064	45824	60608	4573.06299	4729.14258	31937.7559	6667.63428
73472	74560	83264	6036.39355	10167.417	20824.8672	10053.915
53184	45440	87168	6263.35352	14346.1523	26218.9785	11850.3271
52928	49408	71232	3299.05933	3792.25513	15383.3447	5751.06689
55744	52608	1.26592004e5	6836.77197	15386.2617	40514.3125	9207.76367
22080	19456	57408	3325.53662	5572.43555	16980.668	5495.58301
49536	40000	1.06112003e5	6077.66846	7999.19238	5134.71582	10142.04
21312	19008	57984	4104.92236	5364.56982	13331.833	5165.42334
38912	32384	1.28447998e5	8245.52344	13612.7051	36564.5	12108.7031
79424	80320	67904	4998.17334	8676.4502	16725.9492	7794.32812
37056	31168	1.27807999e5	8503.13379	17398.8984	48284.6172	18853.0469
37312	37120	54144	3829.80176	10173.2891	10540.0254	8146.24512
59904	45632	1.46368003e5	12646.875	35689.5508	41657.543	13534.9648
51072	42304	1.01375997e5	7232.62305	16693.6055	18429.5	7460.30078
57152	48832	1.19744003e5	7953.10889	17243.2754	37307.3242	11607.3975
44032	41856	71040	4304.18262	16691.957	8604.99609	7497.36719
56448	56320	1.05408001e5	6154.3999	7058.01416	59657.8164	20355.8613
63936	67200	59840	4501.76367	12368.8252	17649.8398	8044.58887
41152	32256	82112	4067.82104	16216.8477	12462.5078	11393.9404
44736	39680	1.00864005e5	6621.46875	14917.5117	8540.96875	9285.40234
53184	47808	93952	5872.41455	10479.8428	21497.3066	6582.42334
75584	72256	97152	5926.22705	8969.87012	21003.5898	7171.78467
33344	28032	77696	4702.12744	8940.52051	5324.30469	7289.24658
46272	41408	67520	5041.9541	14238.3447	9369.83789	6785.14453
40256	33984	1.10336006e5	7196.2666	17681.9141	43345.3789	25835.5
80384	80000	71104	5162.03223	8533.93262	19563.8945	9869.375
38144	32512	83648	4423.11084	16713.6836	4870.5332	9070.71973
27328	23744	55680	6726.7373	15288.0537	14943.0654	6286.9751
48256	48960	79232	5144.75732	12016.2627	31277.9863	11861.1562
92032	79936	1.13600004e5	7336.93555	21010.4629	37857.5234	13871.7529
32448	29312	78848	6219.16162	6495.93164	31593.1055	9152.89355
58624	60928	1.07584e5	7431.979	14718.6846	27647.7266	9637.85059
44608	42432	57152	3662.66846	6662.49268	13012.1191	6376.14355
90496	84736	80704	10232.4492	6511.87988	3051.97559	11854.6748
59264	59904	53504	4897.375	10038.7988	15544.8398	6605.62158
36992	32640	1.10912001e5	7115.09521	22183.2734	23151.3828	16317.3447
40832	36672	82496	5755.40234	25098.2148	21587.1875	8890.44922
57472	56832	95808	7765.42139	12435.0215	35532.6055	11845.5
46848	37952	1.05408001e5	6856.05176	25494.3887	7639.57324	8969.87012
53824	53952	66944	4786.61816	7818.01074	23531.8438	6964.43506
46912	46208	85632	2983.24072	10773.0225	18004.166	12531.6338
26688	17920	84096	6543.03125	9972.51562	22988.2578	8564.68652
51264	51968	97920	5238.396	20688.5801	16637.6777	9244.77148
39104	38144	58560	4703.27539	3328.79883	35838.4062	8206.67676
59840	54464	1.00864005e5	5761.54883	9118.41504	29984.6113	10276.0264
35200	33536	89024	5590.49951	5364.39404	20634.0234	7061.10254
42496	42816	80000	4331.35156	5234.8418	13619.6699	7085.89502
18176	16256	96640	6172.2417	7291.32666	19571.6816	9228.32422
48128	49664	63488	3052.65356	4357.35254	11534.8662	6410.38379
64320	67264	75264	3485.00708	10494.3203	14559.5586	9033.53223
85888	81536	71680	9293.72363	6890.82764	1996.14661	9945.1123
68800	69504	91392	6790.22559	16971.123	12929.6494	10017.5869
38784	35456	1.02271998e5	4592.4209	7669.8916	23600.293	11202.5576
36224	32448	1.14175999e5	5932.33203	8846.47266	32787.5977	8836.81836
35392	30208	86528	7769.04785	18445.1875	16947.4023	9560.89746
50432	49536	54080	4503.59082	4715.23145	17770.5078	5989.10938
21440	18880	64384	4893.31299	5192.92969	22953.4824	6367.00732
62592	63104	90240	7514.16309	20211.5039	43262.7852	8158.0835
1.01440001e5	1.02976e5	98944	4451.89893	18008.9824	15185.7686	16408.1074
81024	80192	1.35935998e5	6815.25488	16970.2578	27739.4922	15532.8516
23744	18560	82048	8566.62207	5174.26172	45768.9219	11108.3291
31104	23616	1.19167995e5	9706.91992	10001.9805	35452.75	10989.1025
79616	81664	1.06112003e5	5782.63867	10078.1768	23465.0195	13881.6348
49984	48128	94848	10879.9258	23840.957	29560.8027	11949.8311
34112	32128	81472	7625.87793	14946.0703	18701.0176	13252.708
34816	31424	91264	5109.91846	8413.05273	20311.1191	11215.877
44544	42816	75008	4155.70654	13301.2998	10697.6562	9890.62109
62528	44992	1.09695995e5	5713.44531	21220.4492	13838.3545	14670.4258
40960	39808	48320	4357.479	10689.4434	16388.082	6046.56201
97792	95232	90752	6354.16455	20962.002	19517.7793	8869.16992
67264	64256	1.27807999e5	6180.87305	20046.8438	24217.377	13351.6279
35456	37120	65216	5856.03467	6156.54102	19211.5352	6185.57959
43200	38464	1.09055996e5	6144.55762	7749.16162	30118.8223	8529.85742
49472	49664	68992	3655.42065	10278.3457	22677.8984	8318.9707
47744	46016	91648	5509.4082	13636.8096	34946.6992	10846.1104
38208	33728	80128	7617.97461	16271.5273	15428.8467	9310.70117
55488	58240	80896	6817.51758	19404.7148	27340.7773	11499.2861
52864	46592	1.43039999e5	7694.7417	20305.5449	43751.5312	20214.4336
33920	32128	61952	4758.20264	14709.9521	14371.4121	8195.16895
67264	67136	68672	5331.69873	13756.8252	6522.21436	8070.43359
19840	14464	1.10272002e5	8851.78223	9093.61523	43748.9141	10502.627
59392	55488	68288	4336.27246	22356.3477	9780.56641	7532.7876
78528	72768	1.24544001e5	9409.07324	30791.4531	18708.4355	14426.3506
82368	79872	1.10655999e5	4999.87451	6854.65381	48171.4688	16058.252
39360	38080	84544	6363.3125	11279.7139	22291.5723	13496.5371
68096	64960	92224	9704.84473	33526.2227	11199.7432	11483.7539
52864	53376	78848	4286.95215	13131.7158	21660.0566	15053.9092
90752	86528	1.35231996e5	21778.4746	13844.9082	58774.7539	13837.8193
35840	33344	90176	4861.63965	5746.38574	25657.6133	7179.90674
63168	63808	77632	3811.36523	14660.582	1902.65454	8250.31738
17728	11456	98368	4609.90186	10877.6475	31629.168	9291.16699
42560	40256	71232	5005.06738	17098.8535	19740.2109	8421.37988
42880	32192	1.09632004e5	5343.43896	15082.4639	54117.3984	14010.957
58496	60608	75072	4827.79443	9467.66797	17997.6719	9545.75977
28160	27200	64448	4826.30713	9760.64258	13621.4316	4858.81836
62656	61696	1.19104004e5	10123.2256	20767.377	21401.1602	14538.1299
20096	19904	46784	3837.5459	7236.1123	15399.6025	5255.37354
39744	39744	51712	3431.94116	1753.98596	21229.127	8561.68262
78272	70912	1.11231995e5	6826.3291	20414.6641	19977.3867	18375.5742
20416	18112	66688	4967.96729	12209.4092	27069.5957	10138.4658
23296	16384	55616	4250.00146	8407.93457	2881.66724	10339.2529
43840	42176	1.06175995e5	4041.13232	10110.1846	30728.7754	11361.9082
72320	62720	1.00992e5	7014.12842	28574.5527	1966.26978	10956.5293
44288	36032	62848	5074.12158	15086.3955	8599.73828	7863.62646
39424	39488	58560	4164.83887	10428.3604	8803.14648	10607.8174
21824	13952	68224	6954.45068	8690.48242	27126.0273	8578.89062
34240	34432	59200	3865.4353	7341.83984	22593.2324	7972.1377
50496	45824	90688	5499.30176	16562.2812	11875.9346	13377.6221
62784	57088	75712	4784.59375	9733.87012	3545.15942	7552.09424
31488	31296	67392	4013.48096	9180.40527	26966.9082	6495.32617
21312	20224	67328	6586.20215	6425.20947	22783.1562	5990.05615
35456	31872	97728	7235.42432	5184.38232	17573.0469	6977.69434
65472	57408	1.37023997e5	6766.16504	15939.7539	36152.3008	12866.2246
75968	71168	97856	6600.90918	20624.0391	20010.2148	14953.6328
44288	42560	76672	5498.98438	12239.7051	26567.4297	7580.52246
76800	75136	1.09376001e5	6486.17627	25156.3691	20390.0352	13036.7607
49856	49088	1.16543996e5	6027.68115	5773.89795	24243.0801	12398.1152
30016	27200	64768	4851.85254	5958.88281	21562.9785	6419.87988
65664	67072	1.3312e5	9261.66895	18601.791	19295.3984	10988.2617
22144	15808	1.10591996e5	5862.6958	21757.0859	10296.4814	9081.59473
95424	93696	92736	6395.26221	8483.55078	19066.75	9230.75977
49856	49216	95808	8246.72559	7491.85547	20014.1641	8707.33984
57664	55232	1.14751995e5	8540.59375	23417.9434	2375.10205	11299.8281
38976	35648	93888	6905.45459	12742.0068	19468.875	7728.26709
70848	68224	89600	6950.75244	16081.0176	46379.125	12840.8037
25984	20032	96000	6438.55371	21435.8906	8739.72754	8164.02441
46016	32576	86912	4709.21387	19633.9004	28226.752	15350.4443
36352	31552	78656	4619.91699	18419.6328	5057.31836	12075.8301
64704	53696	85440	7402.81689	13946.0732	40722.2695	10913.2549
35008	33536	74176	6909.01172	13876.9277	12145.4912	8042.25879
76096	76416	81536	3567.62061	8564.37891	20069.1855	10042.9688
49088	46464	84736	6419.04346	16622.5957	26519.4902	9444.62988
42048	39936	74752	5397.98633	8905.88184	60448.0391	14003.8281
54400	52672	85184	6370.55957	20566.5918	18611.0781	14547.3682
63424	66432	79488	4904.53223	15954.6904	15488.1777	7935.54492
34048	30656	1.05599999e5	9946.76562	13992.3584	33581.25	8976.53711
28288	25856	59200	2521.35474	2597.4812	19318.2891	6511.30859
36992	29760	1.00416005e5	7786.52246	9249.66016	25643.8887	10843.9248
37312	34752	99008	5312.86377	8691.79297	30457.7715	9474.04785
29696	23360	1.26336002e5	8369.19434	21288.3223	28585.4219	15809.5723
29120	27520	66432	5651.89111	5225.34424	1244.96802	10269.0635
67840	68096	93760	4416.42285	6710.66895	19572.4023	6781.32764
67456	64896	1.24416006e5	6914.91504	20279.5469	3409.55273	16159.3721
45120	31424	95744	6045.16064	9922.33887	22207.3984	11112.1143
29312	29248	72064	4940.4043	11240.001	10377.2334	8325.12402
39616	40064	52096	2547.04712	8699.01074	566.326416	5821.97803
