FSC-A	FSC-H	SSC-A	<PE-A>: JAK1	<PerCP-Cy5-5-A>: CD25	<Pacific Blue-A>: pSTAT5	<APC-A>: STAT5
61568	56192	75008	3406.60547	2711.54858	15006.9092	8459.85352
48576	46080	1.00800002e5	6080.15234	13193.3447	38591.4688	10466.0439
34304	28352	89024	3730.52905	3057.18335	18040.0625	7690.46289
38912	29888	1.19807995e5	7623.06836	21071.0938	39398.2578	17950.6016
81088	69952	87552	4495.12549	5500.80176	13695.4043	8542.88184
79360	75264	97600	6019.83887	14816.1543	25429.4023	13890.9717
61696	52992	1.17504001e5	7842.40479	12694.9961	26016.2637	9294.28516
44032	32448	1.47775993e5	7415.86914	12420.3232	40895.4531	8061.60791
63744	59776	80448	4335.17139	2109.48364	14655.6143	6099.94678
34560	27648	79552	5159.25098	16051.0957	1762.04626	11231.583
64960	61120	92928	4740.43359	14230.3135	18809.3652	6829.08447
25600	23040	71424	4239.56836	5428.59375	27624.2754	5879.55859
42880	37312	1.16159999e5	7600.11621	25919.3438	17579.3965	11945.9326
21632	13952	1.17568004e5	9376.79883	15606.4492	44398.4414	11806.5654
87104	80320	99584	5446.28955	13606.1064	3749.45435	13065.7539
28800	25984	84032	4680.87939	10164.4053	28927.3613	7981.9668
49088	47744	69248	3371.146	14246.7334	859.160095	7547.19922
86272	86272	1.18079996e5	4216.70312	2758.3479	26143.8965	10152.8984
52096	42816	97344	5772.84619	6698.70605	29032.6621	9987.80176
29760	25664	80064	4710.31494	7766.27832	34883.3008	14558.7998
50240	38912	1.14624e5	6207.15674	2786.10547	21726.4277	9988.93262
62016	51328	78400	4204.50439	22532.4375	5323.94287	8127.67676
41792	36928	91840	7703.43018	13415.0869	38247.7383	9702.30664
57600	51200	74368	5673.90869	6578.50391	7406.81982	7112.37354
29632	19904	77120	6955.44238	6796.61572	31126.3652	6877.15576
51968	39616	85504	5902.03467	9776.56348	16730.6797	13136.8838
67456	65984	1.10591996e5	4793.52979	11067.1934	27150.8027	10350.4727
38848	33600	82560	5550.77197	6310.03906	13604.5889	8171.32275
87616	78912	91968	3992.10815	4805.17432	18046.041	10179.6465
62784	52800	1.39968002e5	3776.78491	11284.457	17775.3184	15572.0498
88512	86720	1.05343997e5	5954.17383	20842.1289	7798.80127	15929.9619
84928	81728	1.19104004e5	5365.31592	5921.39062	21379.1738	9998.09961
45248	39680	97088	6446.71729	19576.1816	4603.24023	7043.40479
46720	38592	1.24223995e5	7282.52588	14497.0537	20830.8906	11294.4395
59008	55808	1.56415997e5	5879.4082	9888.11035	25915.1211	11187.2715
30912	20928	1.14048004e5	4305.75684	6759.84424	22269.5684	10477.8877
32384	26048	73728	5355.59473	7160.68408	9049.66211	7144.03174
34112	32448	80384	4956.42627	8845.90039	10788.418	9709.08008
33664	31552	81536	5987.49658	16275.7793	36538.0898	9418.62207
33216	27008	74816	4071.70874	12716.6436	11921.8037	8989.4248
48256	46912	87296	6686.92334	11843.0254	16043.1025	9467.32617
60160	58176	65920	3606.94336	4961.47705	8900.88672	7539.31006
31936	22976	1.34016001e5	10490.0127	13772.3398	41524.5234	14873.3291
45440	43712	1.03551996e5	8248.30566	10303.9209	22495.3496	6627.34473
34112	28160	1.05856001e5	7751.55762	12452.2695	20878.3477	8667.6123
